state_id,state_full,state_abbr
0,Vermont,VT
1,Nebraska,NE
2,New Jersey,NJ
3,California,CA
4,Ohio,OH
5,Illinois,IL
6,Michigan,MI
7,Florida,FL
8,Washington,WA
9,Virginia,VA
10,Louisiana,LA
11,Pennsylvania,PA
12,Hawaii,HI
13,Tennessee,TN
14,Texas,TX
15,Colorado,CO
16,Oregon,OR
17,Indiana,IN
18,Missouri,MO
19,New York,NY
20,Minnesota,MN
21,Wisconsin,WI
22,Kansas,KS
23,Iowa,IA
24,Georgia,GA
25,Montana,MT
26,South Carolina,SC
27,Kentucky,KY
28,Massachusetts,MA
29,Rhode Island,RI
30,Arkansas,AR
31,Idaho,ID
32,Connecticut,CT
33,Maine,ME
34,New Hampshire,NH
35,Maryland,MD
36,West Virginia,WV
37,Alabama,AL
38,Delaware,DE
39,North Dakota,ND
40,Utah,UT
41,South Dakota,SD
42,District of Columbia,DC
43,North Carolina,NC
44,Nevada,NV
45,Mississippi,MS
46,Wyoming,WY
47,Arizona,AZ
48,New Mexico,NM
49,Oklahoma,OK
50,Alaska,AK
51,Puerto Rico,PR
